"Gender","Age","NumEnq","ExistCust","CCother","OutBal","Prov","AppMethod","Income","RecDef","PD_groups"
1e-04,8e-04,0.7695,0.2443,1e-04,0.0013,6e-04,3e-04,0.0011,2e-04,0.0868
0,7e-04,0.8127,0.2559,2e-04,8e-04,0.0012,1e-04,8e-04,8e-04,0.1005
1e-04,2e-04,0.8287,0.2514,7e-04,3e-04,0.001,1e-04,1e-04,1e-04,0.0923
5e-04,4e-04,0.8133,0.259,3e-04,4e-04,0.0011,3e-04,7e-04,2e-04,0.0912
1e-04,0.0017,0.805,0.2638,0.0017,Inf,0.0018,0.0015,0.0011,0.001,0.0964
2e-04,8e-04,0.8035,0.2578,9e-04,0.001,0.0017,2e-04,6e-04,0,0.0938
0,0.001,0.7722,0.2537,0.0011,Inf,0.0019,0.0012,0.0013,7e-04,0.0847
1e-04,7e-04,0.7479,0.2299,0.0011,0.0019,0.0013,5e-04,0.0014,8e-04,0.0816
0,5e-04,0.7896,0.247,2e-04,0.001,0.0013,5e-04,6e-04,5e-04,0.0938
0,2e-04,0.8126,0.2613,1e-04,0.002,9e-04,1e-04,9e-04,1e-04,0.1069
1e-04,0.001,0.7973,0.265,0.001,Inf,0.0016,6e-04,7e-04,3e-04,0.0898
1e-04,6e-04,0.7853,0.2528,2e-04,Inf,4e-04,2e-04,5e-04,3e-04,0.0904
1e-04,0.001,0.8339,0.2512,2e-04,Inf,9e-04,3e-04,0.0011,6e-04,0.1002
0,7e-04,0.7958,0.2646,5e-04,5e-04,0.0014,3e-04,8e-04,3e-04,0.0995
0,4e-04,0.8069,0.2559,8e-04,6e-04,0.0018,5e-04,7e-04,6e-04,0.1021
0,4e-04,0.8132,0.2675,6e-04,0.0011,9e-04,4e-04,5e-04,2e-04,0.0918
2e-04,8e-04,0.7739,0.253,7e-04,9e-04,8e-04,4e-04,5e-04,4e-04,0.0883
1e-04,6e-04,0.7939,0.2617,2e-04,Inf,4e-04,3e-04,0.0015,2e-04,0.0934
2e-04,0.0019,0.8086,0.2704,4e-04,0.0015,0.001,8e-04,6e-04,3e-04,0.0952
0,3e-04,0.7809,0.2457,3e-04,5e-04,0.0012,1e-04,0.0022,1e-04,0.0823
0,9e-04,0.7916,0.2665,9e-04,Inf,6e-04,4e-04,6e-04,7e-04,0.0932
7e-04,8e-04,0.8038,0.2774,6e-04,0.003,0.0024,5e-04,2e-04,0.0011,0.0955
0,5e-04,0.7656,0.234,3e-04,0.0012,0.0013,3e-04,7e-04,3e-04,0.0932
0,4e-04,0.7985,0.2514,9e-04,0.0018,0.0013,3e-04,0.001,5e-04,0.0869
3e-04,4e-04,0.7889,0.2498,4e-04,Inf,0.0013,5e-04,9e-04,1e-04,0.0936
0,8e-04,0.7955,0.2447,3e-04,Inf,0.002,8e-04,9e-04,0.0012,0.0953
3e-04,0.0012,0.7961,0.2549,9e-04,9e-04,0.001,2e-04,7e-04,8e-04,0.0957
0,4e-04,0.8121,0.2474,3e-04,Inf,0.0015,3e-04,2e-04,9e-04,0.0882
0,6e-04,0.787,0.2441,3e-04,0.0011,0.001,4e-04,4e-04,4e-04,0.0912
2e-04,3e-04,0.8143,0.2588,8e-04,Inf,0.0014,0.001,0.0012,4e-04,0.0878
0,6e-04,0.7852,0.2588,8e-04,0.0012,0.0018,0.0011,0.0012,5e-04,0.0922
2e-04,6e-04,0.8118,0.2411,5e-04,Inf,0.001,1e-04,1e-04,3e-04,0.0864
2e-04,0.0015,0.8177,0.2751,9e-04,0.0017,0.0013,8e-04,0.0011,3e-04,0.0998
0,0.0013,0.8041,0.2598,0,0.0013,6e-04,3e-04,0.001,6e-04,0.0912
0,4e-04,0.79,0.2486,2e-04,8e-04,6e-04,1e-04,6e-04,8e-04,0.0998
3e-04,8e-04,0.7986,0.2596,4e-04,2e-04,0.0014,9e-04,4e-04,1e-04,0.0928
1e-04,0.0022,0.7982,0.2635,5e-04,8e-04,0.0037,0.0017,8e-04,2e-04,0.0892
0,6e-04,0.8163,0.2578,8e-04,7e-04,0.0019,5e-04,4e-04,7e-04,0.0964
0,9e-04,0.7996,0.2613,4e-04,9e-04,0.0013,0.0011,4e-04,7e-04,0.0951
1e-04,2e-04,0.7652,0.2317,6e-04,4e-04,0.0013,1e-04,9e-04,5e-04,0.0917
0,0.0014,0.8176,0.2602,0.0015,Inf,0.002,8e-04,8e-04,0.001,0.0951
0,9e-04,0.7957,0.2537,4e-04,9e-04,6e-04,2e-04,8e-04,2e-04,0.0886
3e-04,9e-04,0.7826,0.2498,0.0012,Inf,0.0016,2e-04,0.001,3e-04,0.0842
